cnpj_estabelecimento,cbo_2002,cbo_titulo,sexo,raca_cor,salario_contratual_mensal,remuneracao_total_mensal,data_competencia
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5868.71,6427.51,2024-09
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5868.71,6075.43,2024-10
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5868.71,6241.73,2024-11
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5868.71,6151.72,2024-12
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5868.71,5823.16,2025-01
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5868.71,6223.08,2025-02
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5868.71,6129.73,2025-03
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5868.71,6325.55,2025-04
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5868.71,6530.71,2025-05
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5868.71,6282.55,2025-06
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5868.71,6097.46,2025-07
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5868.71,6241.4,2025-08
12.345.678/0001-01,252210,Analista de recursos humanos,M,nao_declarada,6153.98,6498.93,2024-09
12.345.678/0001-01,252210,Analista de recursos humanos,M,nao_declarada,6153.98,6650.54,2024-10
12.345.678/0001-01,252210,Analista de recursos humanos,M,nao_declarada,6153.98,6196.05,2024-11
12.345.678/0001-01,252210,Analista de recursos humanos,M,nao_declarada,6153.98,6246.35,2024-12
12.345.678/0001-01,252210,Analista de recursos humanos,M,nao_declarada,6153.98,6084.1,2025-01
12.345.678/0001-01,252210,Analista de recursos humanos,M,nao_declarada,6153.98,6573.76,2025-02
12.345.678/0001-01,252210,Analista de recursos humanos,M,nao_declarada,6153.98,6458.17,2025-03
12.345.678/0001-01,252210,Analista de recursos humanos,M,nao_declarada,6153.98,6343.5,2025-04
12.345.678/0001-01,252210,Analista de recursos humanos,M,nao_declarada,6153.98,6327.78,2025-05
12.345.678/0001-01,252210,Analista de recursos humanos,M,nao_declarada,6153.98,6356.04,2025-06
12.345.678/0001-01,252210,Analista de recursos humanos,M,nao_declarada,6153.98,6290.39,2025-07
12.345.678/0001-01,252210,Analista de recursos humanos,M,nao_declarada,6153.98,6402.34,2025-08
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5073.76,5252.22,2024-09
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5073.76,5539.02,2024-10
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5073.76,5376.66,2024-11
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5073.76,5202.86,2024-12
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5073.76,5238.57,2025-01
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5073.76,5509.94,2025-02
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5073.76,5396.31,2025-03
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5073.76,5372.38,2025-04
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5073.76,5437.14,2025-05
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5073.76,5568.87,2025-06
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5073.76,5142.16,2025-07
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5073.76,5213.95,2025-08
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,7359.26,7342.93,2024-09
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,7359.26,7836.48,2024-10
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,7359.26,7643.59,2024-11
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,7359.26,7578.89,2024-12
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,7359.26,7558.94,2025-01
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,7359.26,7879.86,2025-02
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,7359.26,7695.85,2025-03
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,7359.26,7610.1,2025-04
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,7359.26,8004.38,2025-05
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,7359.26,7496.27,2025-06
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,7359.26,7448.08,2025-07
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,7359.26,8300.06,2025-08
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,5255.63,5460.43,2024-09
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,5255.63,5432.72,2024-10
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,5255.63,5403.72,2024-11
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,5255.63,5496.83,2024-12
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,5255.63,5641.83,2025-01
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,5255.63,5637.21,2025-02
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,5255.63,5604.19,2025-03
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,5255.63,5474.48,2025-04
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,5255.63,5283.47,2025-05
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,5255.63,5563.02,2025-06
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,5255.63,5757.88,2025-07
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,5255.63,5687,2025-08
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5808.5,6069.61,2024-09
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5808.5,6238.77,2024-10
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5808.5,6031.75,2024-11
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5808.5,6089.32,2024-12
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5808.5,5883.83,2025-01
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5808.5,6043.96,2025-02
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5808.5,6123.42,2025-03
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5808.5,6069.47,2025-04
